2D_X,2D_Y,3D_X,3D_Y,3D_Z
348,419,-13.406283470544771,139.82607507159884,3.1664177113008285
342,478,-15.029539733877964,141.3221230283811,19.625565641251384
341,468,-15.273389771751818,142.19108960216175,16.77921872532828
260,458,-38.679563929459086,133.89502466640513,14.414420165752544
383,447,-3.333691108952737,161.0015771475729,10.101505240116824
292,306,-28.53147321729577,147.65963890462675,-28.115199235156883
269,312,-35.16851428284961,144.28229970465551,-26.634863860910457
235,263,-46.12190130285589,131.08172016138136,-41.35081701093129
367,326,-7.830030134386649,150.456101002497,-22.497959549287536
341,347,-15.234332794332987,143.141017211873,-16.951651147886363
302,564,-26.66657823369466,134.6757237865217,44.500688673187376
209,551,-55.4614062808384,116.92035809848156,42.86611446689476
355,489,-10.756794945041975,161.6741179431857,21.218819901321712
368,496,-7.188716725258916,166.96280004013693,22.66564772232851
323,567,-20.348234430225716,141.19711088655058,44.523928257518364
332,567,-17.732665667245737,143.27741142216905,44.25935554007383
259,299,-38.14196322706628,142.26422507634163,-30.362806485907768
341,486,-15.353026350716954,140.25420175007065,21.937728868185886
324,308,-19.56530816432387,150.69929616085253,-27.40282825360842
320,293,-20.615524173803383,151.45190419363348,-31.45049136847395
307,226,-24.712539381053112,142.899650136384,-50.6539056682775
247,281,-42.022502710945204,137.26077317131575,-35.7442801250707
315,260,-22.175633785461965,148.11745693608987,-40.73291998259626
241,315,-43.61488722398296,138.18192246416993,-26.09777703028877
228,306,-47.82523981413293,133.61514333687376,-28.883501140932506
373,556,-6.187478482341274,150.63009160439893,40.320232269725956
355,559,-11.219904665364304,146.90633588320512,41.59233489664265
342,561,-14.891069802163143,144.747996950354,42.409181427004
358,493,-9.89029729213119,164.07638100879595,22.09876365067658
327,567,-19.113759553152676,143.47367547504018,44.234394668836366
335,570,-16.85185617461895,144.29651973659074,44.96226165923894
333,566,-17.37720827459427,144.9317377060919,43.771895462485034
364,485,-8.295151853858055,164.58729112288896,19.953210888124442
351,565,-12.319293234029702,147.00468614092142,43.23408418053769
362,565,-9.22445811644319,149.38504186710963,42.93466806034799
376,566,-5.333289045942392,152.71763347003525,42.787110693854714
370,614,-7.0267199089138925,149.67505806193054,56.312294440157814
372,594,-6.449722996311769,151.18600134978266,50.61655769483316
373,584,-6.173052418192911,151.39679605900795,47.86020822098042
375,575,-5.620128243307575,151.84504191913496,45.34768440130094
376,570,-5.313828420141354,153.8811952620739,43.723244167988334
350,568,-12.553023723758294,148.20684111116458,43.907210887226945
347,570,-13.33664377636511,149.30936837273458,44.31424732378642
343,574,-14.549802654174886,146.36111661696648,45.7996365584556
