2D_X,2D_Y,3D_X,3D_Y,3D_Z
223,371,77.8696234922021,-33.449607849121094,-13.14406154994062
354,409,20.728897716101134,-107.26328803369177,-27.772599509782452
335,485,27.445460016683036,-112.79330227301261,-55.25352016725816
270,377,52.60726842037812,-95.37892302396403,-15.976496966565556
347,475,23.090341648015567,-112.82356521932888,-51.6232777108594
235,485,70.24066650660856,-56.16082832116956,-59.2198397482955
345,384,23.979255173519398,-108.56328705235092,-18.605874360919284
359,467,18.6888105764638,-114.49595770270923,-48.62462957242298
278,579,50.99055412573984,-79.11151932464873,-93.92517377929614
282,592,49.65450218290939,-76.56784835775386,-99.31496438178056
224,451,78.4090325185549,-25.642575589957232,-46.95595176582766
258,555,59.484860618028534,-71.34853870162135,-85.57622125031065
230,347,74.8463248816338,-34.2634519440453,-3.1303013719212807
339,638,26.863656902233796,-92.33833259805715,-114.38056848294653
382,512,10.321507055766652,-118.43624450440336,-64.54863592095494
331,461,28.9012781925146,-112.70003658452595,-46.55049101753569
236,384,67.96499089904555,-72.55256913059497,-18.59332684104098
298,389,41.69095811261121,-101.24791539576074,-20.457720900724105
312,390,36.45108370483381,-102.02356778456954,-20.82562706158449
332,569,29.45167972686666,-93.42707765883142,-88.22151361039269
239,487,68.37325370490396,-58.46227448378784,-59.860046208288885
366,658,16.732109287969777,-90.23534049348962,-122.3231496968922
324,632,32.71439330218329,-88.6675066982674,-112.75117380525535
305,616,40.325719224601734,-82.65496620412819,-107.64682148607946
387,281,8.509952117746616,-120.3182889236765,18.221737466510316
395,662,5.751346603215397,-91.0133602951214,-123.68690765198862
325,389,31.50543401583537,-104.53473976812234,-20.44741359587869
336,386,27.259342889162134,-108.83106550640514,-19.33715681868821
342,384,25.037125717508868,-109.53988580693044,-18.60621464550658
240,354,66.35410214896984,-72.9775351937875,-6.876072633492877
332,375,28.62642688086927,-110.84201874867779,-15.328929651044
319,371,33.39992402312488,-110.15135933267663,-13.865659279385422
305,371,38.74574088885012,-106.52051460919245,-13.831500876770658
292,372,43.853587290300815,-102.08027204065525,-14.160026838774503
